#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2] 
1636273818639944605,0,-0.000532632,-0.0218379,9.84256,-0.3304,0.0909797
1636273818642943700,0.00532632,-0.00266316,-0.02024,9.85693,-0.397437,0.136469
1636273818644953119,0.00319579,0.00106526,-0.0186421,9.84735,-0.356736,0.124498
1636273818646945159,0.00213053,0.00426106,-0.0191748,9.84975,-0.318429,0.141258
1636273818648945863,0.000532632,-0.0015979,-0.0154463,9.83538,-0.304064,0.117316
1636273818650946548,0.00266316,0.0015979,-0.0255663,9.81862,-0.306458,0.131681
1636273818652982624,0.00692422,0.00372843,-0.0143811,9.85214,-0.299275,0.0981623
1636273818655948176,-0.000532632,0.0015979,-0.0186421,9.83778,-0.385466,0.122104
1636273818657942945,0.00745685,-0.000532632,-0.0207727,9.77553,-0.320823,0.162806
1636273818659017086,0.00266316,0.000532632,-0.0229032,9.85932,-0.287304,0.153229
1636273818675947300,0.0015979,0,-0.0218379,9.84496,-0.366313,0.129287
1636273818677997619,0.00266316,0.00213053,-0.0213053,9.78989,-0.344765,0.0933739
1636273818680955502,0.00585895,0,-0.0207727,9.84017,-0.354342,0.136469
1636273818682981585,0.000532632,-0.000532632,-0.0186421,9.80186,-0.294487,0.131681
1636273818684956512,0.00585895,-0.0015979,-0.0186421,9.81623,-0.354342,0.110133
1636273818686955281,0.0015979,0.0015979,-0.0154463,9.84256,-0.347159,0.0407014
1636273818688950448,0.00532632,0.0015979,-0.0170442,9.85932,-0.289698,0.110133
1636273818690950725,-0.0015979,-0.00213053,-0.0175769,9.84017,-0.356736,0.129287
1636273818691948444,0.00106526,0.00213053,-0.0165116,9.85693,-0.335188,0.129287
1636273818694951064,0.00532632,0.000532632,-0.02024,9.85693,-0.347159,0.138864
1636273818696951326,0.00426106,0.000532632,-0.0175769,9.81144,-0.344765,0.162806
1636273818698953441,0.00319579,-0.00372843,-0.0191748,9.7875,-0.342371,0.148441
1636273818700945035,0.00319579,0.00213053,-0.0181095,9.83059,-0.335188,0.107739
1636273818701979436,0.00106526,-0.00319579,-0.0234358,9.87608,-0.351948,0.0957681
1636273818705949985,0.00532632,0,-0.0239685,9.85693,-0.306458,0.1652
1636273818707950294,0.0015979,-0.00106526,-0.0197074,9.83299,-0.356736,0.172383
1636273818709949596,0,-0.00319579,-0.0266316,9.80665,-0.31364,0.126893
1636273818710952619,0.00426106,0.00213053,-0.0229032,9.86411,-0.366313,0.129287
1636273818713949000,0.00213053,-0.00319579,-0.0133158,9.90002,-0.356736,0.117316
1636273818715943974,-0.000532632,0.00319579,-0.0239685,9.84496,-0.368707,0.114922
1636273818717946091,0.00426106,0.00532632,-0.0223706,9.83778,-0.31364,0.141258
1636273818719946025,0.000532632,-0.00213053,-0.0218379,9.78271,-0.325611,0.107739
